episode,episode_reward,score,epsilon,training_loss,moving_average_score,steps,steps_survived,food_collected,terminated,truncated,end_reason,environment_steps,optimizer_updates
95,-11.430000000000001,0,0.947123,0.018210286127416313,0.5263157894736842,144,143,0,True,False,wall,5566,1142
96,-10.55,0,0.946591,0.012338410110844831,0.5208333333333334,56,55,0,True,False,wall,5622,1156
97,-10.67,0,0.945945,0.010896444765796117,0.5154639175257731,68,67,0,True,False,wall,5690,1173
98,-10.8,0,0.9451755,0.009091751521918923,0.5102040816326531,81,80,0,True,False,wall,5771,1193
99,-11.120000000000001,0,0.944102,0.011888626252365267,0.5050505050505051,113,112,0,True,False,wall,5884,1222
100,-10.32,0,0.9437885,0.0014393509263754822,0.5,33,32,0,True,False,wall,5917,1230
101,-10.71,0,0.9431045,0.0017201406460824525,0.5,72,71,0,True,False,wall,5989,1248
102,-12.919999999999982,0,0.940321,0.0137697572154886,0.5,293,292,0,True,False,wall,6282,1321
103,-10.290000000000001,0,0.940036,0.0016887747478904203,0.5,30,29,0,True,False,wall,6312,1329
104,-10.290000000000001,0,0.939751,0.02369185121330832,0.5,30,29,0,True,False,wall,6342,1336
105,-10.6,0,0.9391715,0.011832271527964622,0.5,61,60,0,True,False,wall,6403,1351
106,-10.6,0,0.938592,0.0016342751478077844,0.5,61,60,0,True,False,wall,6464,1367
107,-10.5,0,0.9381075,0.0014410120032456082,0.5,51,50,0,True,False,wall,6515,1379
108,-0.7699999999999854,10,0.937357,0.02417497129063122,0.6,79,78,1,True,False,wall,6594,1399
109,-0.5099999999999891,10,0.9368535,0.0016963840910018636,0.7,53,52,1,True,False,wall,6647,1412
110,9.579999999999977,20,0.936426,0.02627557083663608,0.9,45,44,2,True,False,self,6692,1424
111,-10.68,0,0.9357705000000001,0.019497268281959218,0.9,69,68,0,True,False,wall,6761,1441
112,-11.64,0,0.934203,0.008635475799986502,0.9,165,164,0,True,False,wall,6926,1482
113,-10.16,0,0.9340415,0.001729758077999577,0.9,17,16,0,True,False,wall,6943,1486
114,-10.13,0,0.9339085,0.03891858790302649,0.9,14,13,0,True,False,wall,6957,1490
115,-11.990000000000002,0,0.9320085,0.0196327458077576,0.9,200,199,0,True,False,wall,7157,1540
116,-10.6,0,0.9314290000000001,0.011219620223467548,0.9,61,60,0,True,False,wall,7218,1555
117,-10.47,0,0.930973,0.0011287240680151929,0.9,48,47,0,True,False,wall,7266,1567
118,-12.249999999999996,0,0.928826,0.014155958505478083,0.9,226,225,0,True,False,wall,7492,1624
119,-10.68,0,0.9281705,0.0101871564915842,0.9,69,68,0,True,False,wall,7561,1641
120,-11.05,0,0.9271635,0.006819782077890033,0.9,106,105,0,True,False,wall,7667,1667
121,-10.26,0,0.926907,0.022173434412772104,0.9,27,26,0,True,False,wall,7694,1674
122,-10.58,0,0.9263465,0.011252681033996244,0.9,59,58,0,True,False,wall,7753,1689
123,-10.55,0,0.9258145,0.0019793472435724524,0.9,56,55,0,True,False,wall,7809,1703
124,-0.8999999999999861,10,0.9249405,0.0013824503757464497,1,92,91,1,True,False,wall,7901,1726
125,-10.22,0,0.924722,0.05076280798918257,1,23,22,0,True,False,wall,7924,1732
126,-10.17,0,0.924551,0.0012235567846801132,1,18,17,0,True,False,wall,7942,1736
127,-10.47,0,0.924095,0.013507489250817647,1,48,47,0,True,False,wall,7990,1748
128,-11.030000000000001,0,0.923107,0.02445429925305339,1,104,103,0,True,False,wall,8094,1774
129,-10.52,0,0.9226035,0.01268449117644475,1,53,52,0,True,False,wall,8147,1787
130,-10.35,0,0.9222615,0.0008775085508305994,1,36,35,0,True,False,wall,8183,1796
131,-0.38999999999999346,10,0.921872,0.00128890528999777,1.1,41,40,1,True,False,wall,8224,1807
132,-10.4,0,0.9214825,0.016013299144105986,1.1,41,40,0,True,False,wall,8265,1817
133,-10.47,0,0.9210265,0.014491253578550337,1.1,48,47,0,True,False,wall,8313,1829
134,-10.68,0,0.920371,0.0016238729825572057,1.1,69,68,0,True,False,wall,8382,1846
135,-10.88,0,0.9195255,0.014734964804533362,1.1,89,88,0,True,False,wall,8471,1868
136,-11.540000000000001,0,0.918053,0.008662715478865907,1.1,155,154,0,True,False,wall,8626,1907
137,-10.65,0,0.917426,0.0008451794873347835,1.1,66,65,0,True,False,wall,8692,1924
138,-10.49,0,0.916951,0.013292166414127374,1.1,50,49,0,True,False,wall,8742,1936
139,-0.509999999999998,10,0.9164475,0.03524369276755561,1.2,53,52,1,True,False,wall,8795,1949
140,-10.36,0,0.916096,0.016446821944555268,1.2,37,36,0,True,False,wall,8832,1959
141,-10.39,0,0.915716,0.015826445081620476,1.2,40,39,0,True,False,wall,8872,1969
142,-10.51,0,0.915222,0.03542879991493045,1.2,52,51,0,True,False,wall,8924,1982
143,-10.98,0,0.9142815,0.0070124803205544595,1.2,99,98,0,True,False,wall,9023,2006
144,-11.07,0,0.9132555,0.006689480899324364,1.2,108,107,0,True,False,wall,9131,2033
145,-11.07,0,0.9122295,0.006804883970525461,1.2,108,107,0,True,False,wall,9239,2060
146,-10.13,0,0.9120965,0.0008048166855587624,1.2,14,13,0,True,False,wall,9253,2064
147,-10.17,0,0.9119254999999999,0.0010820666648214683,1.2,18,17,0,True,False,wall,9271,2068
148,-10.27,0,0.9116595,0.0006366954683991415,1.2,28,27,0,True,False,wall,9299,2075
149,-11.41,0,0.9103105,0.0008539827694120402,1.2,142,141,0,True,False,wall,9441,2111
150,-10.55,0,0.9097785,0.0009910634752096875,1.2,56,55,0,True,False,wall,9497,2125
151,-10.12,0,0.909655,0.0007792561858271559,1.2,13,12,0,True,False,wall,9510,2128
152,-0.45999999999999197,10,0.909199,0.01324363333939497,1.3,48,47,1,True,False,wall,9558,2140
153,-10.700000000000001,0,0.9085245,0.0008800292837097206,1.3,71,70,0,True,False,wall,9629,2158
154,-10.88,0,0.907679,0.014404853522798723,1.3,89,88,0,True,False,wall,9718,2180
155,-10.22,0,0.9074605,0.0014606593855811905,1.3,23,22,0,True,False,wall,9741,2186
156,-10.91,0,0.9065865,0.013942417792429256,1.3,92,91,0,True,False,wall,9833,2209
157,-10.290000000000001,0,0.9063015,0.0008905338805301913,1.3,30,29,0,True,False,wall,9863,2216
158,-1.8099999999999632,10,0.904563,0.01694678212199664,1.4,183,182,1,True,False,wall,10046,2262
159,-10.530000000000001,0,0.90405,0.001712819577993027,1.4,54,53,0,True,False,wall,10100,2276
160,-10.59,0,0.9034800000000001,0.020787285778593893,1.4,60,59,0,True,False,wall,10160,2291
161,-11.13,0,0.902397,0.01148433477646904,1.4,114,113,0,True,False,wall,10274,2319
162,-11.23,0,0.901219,0.0105005536489414,1.4,124,123,0,True,False,wall,10398,2350
163,-10.73,0,0.900516,0.016715524739610327,1.4,74,73,0,True,False,wall,10472,2369
164,-10.52,0,0.9000125,0.012119827975626461,1.4,53,52,0,True,False,wall,10525,2382
165,-10.58,0,0.899452,0.000795927143190056,1.4,59,58,0,True,False,wall,10584,2397
166,-10.52,0,0.8989485,0.0006565510859498038,1.4,53,52,0,True,False,wall,10637,2410
167,-10.35,0,0.8986065,0.0007238194876764384,1.4,36,35,0,True,False,wall,10673,2419
168,-10.5,0,0.898122,0.0005994223152251485,1.4,51,50,0,True,False,wall,10724,2432
169,-0.8999999999999897,10,0.897248,0.026495427901745246,1.5,92,91,1,True,False,wall,10816,2455
170,-10.860000000000001,0,0.8964215,0.0007838626417131829,1.4,87,86,0,True,False,wall,10903,2476
171,-10.22,0,0.896203,0.0005913007238026088,1.4,23,22,0,True,False,wall,10926,2482
172,-10.6,0,0.8956235,0.0005691764119546861,1.4,61,60,0,True,False,wall,10987,2497
173,-10.96,0,0.894702,0.012545702216448263,1.4,97,96,0,True,False,wall,11084,2522
174,-11.340000000000002,0,0.8934195,0.0143915945787519,1.3,135,134,0,True,False,wall,11219,2555
175,-10.16,0,0.893258,0.0007708190707489849,1.3,17,16,0,True,False,wall,11236,2560
176,-11.040000000000001,0,0.8922605,0.01814115776393849,1.3,105,104,0,True,False,wall,11341,2586
177,-10.52,0,0.891757,0.0010788054630840914,1.2,53,52,0,True,False,wall,11394,2599
178,-10.52,0,0.8912535,0.012343859978360482,1.1,53,52,0,True,False,wall,11447,2612
179,-11.8,0,0.889534,0.007325988533051239,1.1,181,180,0,True,False,wall,11628,2658
180,-10.47,0,0.889078,0.0008573985251132399,1.1,48,47,0,True,False,wall,11676,2670
181,-10.16,0,0.8889165,0.0006062946122256108,1.1,17,16,0,True,False,wall,11693,2674
182,-10.58,0,0.888356,0.06005601126817055,1.1,59,58,0,True,False,wall,11752,2689
183,-10.44,0,0.8879285,0.014915144113315777,1.1,45,44,0,True,False,wall,11797,2700
184,-10.59,0,0.8873585,0.011420462175738066,1.1,60,59,0,True,False,wall,11857,2715
185,-10.27,0,0.8870925000000001,0.0219544051464514,1.1,28,27,0,True,False,wall,11885,2722
186,-10.28,0,0.886817,0.02209092620510741,1.1,29,28,0,True,False,wall,11914,2729
187,9.52999999999998,20,0.886342,0.023471459325474616,1.3,50,49,2,True,False,self,11964,2742
188,-11.270000000000001,0,0.885126,0.014774623231460282,1.3,128,127,0,True,False,wall,12092,2774
189,-11.290000000000001,0,0.883891,0.028473167978518177,1.3,130,129,0,True,False,wall,12222,2806
190,-10.88,0,0.8830455,0.007409155162432316,1.3,89,88,0,True,False,wall,12311,2828
191,-11.22,0,0.881877,0.005590448382257995,1.3,123,122,0,True,False,wall,12434,2859
192,-10.42,0,0.8814685,0.01431080123769458,1.2,43,42,0,True,False,wall,12477,2870
193,-10.77,0,0.8807275,0.0007072747409294703,1.2,78,77,0,True,False,wall,12555,2889
194,-10.88,0,0.879882,0.020380849681754153,1.2,89,88,0,True,False,wall,12644,2912
195,-10.66,0,0.8792455,0.0007945714860397857,1.2,67,66,0,True,False,wall,12711,2928
196,-10.63,0,0.8786375,0.019196610997823882,1.2,64,63,0,True,False,wall,12775,2944
197,-10.370000000000001,0,0.8782765,0.0007206218375358731,1.2,38,37,0,True,False,wall,12813,2954
198,-10.83,0,0.8774785,0.0006437711972033693,1.2,84,83,0,True,False,wall,12897,2975
199,-10.25,0,0.8772314999999999,0.025335002069671948,1.2,26,25,0,True,False,wall,12923,2981
200,-10.56,0,0.87669,0.0006773180192491661,1.2,57,56,0,True,False,wall,12980,2996
201,-10.59,0,0.87612,0.030201576163138573,1.2,60,59,0,True,False,wall,13040,3011
202,-10.68,0,0.8754645,0.009800697526182322,1.2,69,68,0,True,False,wall,13109,3028
203,-10.21,0,0.8752555,0.001056544785387814,1.2,22,21,0,True,False,wall,13131,3033
204,-0.6300000000000008,10,0.874638,0.018525353727026787,1.3,65,64,1,True,False,wall,13196,3050
205,-0.37999999999999545,10,0.874258,0.0008877424901584163,1.4,40,39,1,True,False,wall,13236,3060
206,-10.3,0,0.8739635,0.000823549843127174,1.4,31,30,0,True,False,wall,13267,3067
207,-10.3,0,0.873669,0.000834588696307037,1.4,31,30,0,True,False,wall,13298,3075
208,-10.5,0,0.8731845,0.023527473238153525,1.3,51,50,0,True,False,wall,13349,3088
209,-10.43,0,0.8727665,0.0007801227779550986,1.2,44,43,0,True,False,wall,13393,3099
210,-10.41,0,0.8723675,0.0006255401152884587,1,42,41,0,True,False,wall,13435,3109
211,-10.55,0,0.8718355,0.011425967706600204,1,56,55,0,True,False,wall,13491,3123
212,-10.450000000000001,0,0.8713985,0.013154229372351741,1,46,45,0,True,False,wall,13537,3135
213,-10.21,0,0.8711895000000001,0.0015442167175933718,1,22,21,0,True,False,wall,13559,3140
214,-11.620000000000001,0,0.869641,0.004543467035812394,1,163,162,0,True,False,wall,13722,3181
215,-10.48,0,0.8691755,0.0006931998699049776,1,49,48,0,True,False,wall,13771,3193
216,-10.26,0,0.868919,0.0647094394412956,1,27,26,0,True,False,wall,13798,3200
217,-10.290000000000001,0,0.868634,0.0011274425596639048,1,30,29,0,True,False,wall,13828,3208
218,-10.43,0,0.868216,0.01408747552407228,1,44,43,0,True,False,wall,13872,3219
219,-10.28,0,0.8679405,0.0009544313402979501,1,29,28,0,True,False,wall,13901,3226
220,-0.6299999999999901,10,0.8673230000000001,0.010147385672098608,1.1,65,64,1,True,False,wall,13966,3242
221,-10.24,0,0.8670855,0.025628108240198344,1.1,25,24,0,True,False,wall,13991,3248
222,-11.020000000000001,0,0.866107,0.023898436483040523,1.1,103,102,0,True,False,wall,14094,3274
223,-11.41,0,0.864758,0.01328173029792702,1.1,142,141,0,True,False,wall,14236,3310
224,-10.89,0,0.863903,0.014375520512906158,1,90,89,0,True,False,wall,14326,3332
225,-10.25,0,0.863656,0.02211932960199192,1,26,25,0,True,False,wall,14352,3339
226,9.819999999999975,20,0.8634565000000001,0.000776862382190302,1.2,21,20,2,True,False,wall,14373,3344
227,-10.27,0,0.8631905,0.022018595956199403,1.2,28,27,0,True,False,wall,14401,3351
228,-0.5699999999999985,10,0.86263,0.030604249871491143,1.3,59,58,1,True,False,wall,14460,3366
229,-10.870000000000001,0,0.861794,0.02809047124306248,1.3,88,87,0,True,False,wall,14548,3388
230,-10.31,0,0.86149,0.019214262734749354,1.3,32,31,0,True,False,wall,14580,3396
231,-10.36,0,0.8611385,0.017351775837596506,1.2,37,36,0,True,False,wall,14617,3405
232,-10.3,0,0.8608439999999999,0.0009877071133814752,1.2,31,30,0,True,False,wall,14648,3413
233,-1.2299999999999738,10,0.8596565,0.010190618995224096,1.3,125,124,1,True,False,wall,14773,3444
234,-10.41,0,0.8592575,0.000655288522830233,1.3,42,41,0,True,False,wall,14815,3454
235,-10.33,0,0.8589344999999999,0.0008841187486218081,1.3,34,33,0,True,False,wall,14849,3463
236,-10.56,0,0.858393,0.0006437255817997668,1.3,57,56,0,True,False,wall,14906,3477
237,-1.1299999999999955,10,0.8573005,0.016236787515387326,1.4,115,114,1,True,False,wall,15021,3506
238,-10.89,0,0.8564455,0.03455237576484003,1.4,90,89,0,True,False,wall,15111,3528
239,-10.67,0,0.8557995,0.00953540689763887,1.3,68,67,0,True,False,wall,15179,3545
240,-10.77,0,0.8550584999999999,0.0006886981136631221,1.3,78,77,0,True,False,wall,15257,3565
241,-10.17,0,0.8548875,0.0007059343115543015,1.3,18,17,0,True,False,wall,15275,3569
242,-10.71,0,0.8542035,0.00891562113570722,1.3,72,71,0,True,False,wall,15347,3587
243,-10.41,0,0.8538045,0.04127586489299905,1.3,42,41,0,True,False,wall,15389,3598
