policy,block,episode,seed,random_action_seed,score,steps,steps_survived,food_collected,snake_length,steps_since_food,cause_of_death,end_reason,won,terminated,truncated,turn_ratio,episode_reward
Random,500000,73,500072,1500000,0,90,89,0,3,90,wall,wall,False,True,False,0.6111111111111112,-10.89
Random,500000,74,500073,1500000,0,143,142,0,3,143,wall,wall,False,True,False,0.5944055944055944,-11.420000000000002
Random,500000,75,500074,1500000,0,20,19,0,3,20,wall,wall,False,True,False,0.6,-10.19
Random,500000,76,500075,1500000,0,53,52,0,3,53,wall,wall,False,True,False,0.7358490566037735,-10.52
Random,500000,77,500076,1500000,0,16,15,0,3,16,wall,wall,False,True,False,0.25,-10.15
Random,500000,78,500077,1500000,0,83,82,0,3,83,wall,wall,False,True,False,0.6385542168674698,-10.82
Random,500000,79,500078,1500000,10,93,92,1,4,15,wall,wall,False,True,False,0.6666666666666666,-0.9099999999999966
Random,500000,80,500079,1500000,10,115,114,1,4,6,wall,wall,False,True,False,0.7217391304347827,-1.129999999999999
Random,500000,81,500080,1500000,0,34,33,0,3,34,wall,wall,False,True,False,0.6470588235294118,-10.33
Random,500000,82,500081,1500000,0,38,37,0,3,38,wall,wall,False,True,False,0.6578947368421053,-10.370000000000001
Random,500000,83,500082,1500000,0,37,36,0,3,37,wall,wall,False,True,False,0.7027027027027027,-10.36
Random,500000,84,500083,1500000,0,74,73,0,3,74,wall,wall,False,True,False,0.6891891891891891,-10.73
Random,500000,85,500084,1500000,0,13,12,0,3,13,wall,wall,False,True,False,0.38461538461538464,-10.12
Random,500000,86,500085,1500000,0,67,66,0,3,67,wall,wall,False,True,False,0.6268656716417911,-10.66
Random,500000,87,500086,1500000,10,47,46,1,4,42,wall,wall,False,True,False,0.6595744680851063,-0.4499999999999904
Random,500000,88,500087,1500000,0,46,45,0,3,46,wall,wall,False,True,False,0.6956521739130435,-10.450000000000001
Random,500000,89,500088,1500000,0,37,36,0,3,37,wall,wall,False,True,False,0.7567567567567568,-10.36
Random,500000,90,500089,1500000,0,69,68,0,3,69,wall,wall,False,True,False,0.6376811594202898,-10.68
Random,500000,91,500090,1500000,0,247,246,0,3,247,wall,wall,False,True,False,0.6842105263157895,-12.459999999999992
Random,500000,92,500091,1500000,0,27,26,0,3,27,wall,wall,False,True,False,0.48148148148148145,-10.26
Random,500000,93,500092,1500000,0,39,38,0,3,39,wall,wall,False,True,False,0.5641025641025641,-10.38
Random,500000,94,500093,1500000,0,34,33,0,3,34,wall,wall,False,True,False,0.7647058823529411,-10.33
Random,500000,95,500094,1500000,0,32,31,0,3,32,wall,wall,False,True,False,0.75,-10.31
Random,500000,96,500095,1500000,0,62,61,0,3,62,wall,wall,False,True,False,0.5645161290322581,-10.61
Random,500000,97,500096,1500000,0,59,58,0,3,59,wall,wall,False,True,False,0.6949152542372882,-10.58
Random,500000,98,500097,1500000,0,97,96,0,3,97,wall,wall,False,True,False,0.5979381443298969,-10.96
Random,500000,99,500098,1500000,0,88,87,0,3,88,wall,wall,False,True,False,0.7386363636363636,-10.870000000000001
Random,500000,100,500099,1500000,10,65,64,1,4,3,wall,wall,False,True,False,0.676923076923077,-0.629999999999999
Heuristic,500000,1,500000,,90,143,142,9,12,4,self,self,False,True,False,0.11188811188811189,78.66999999999993
Heuristic,500000,2,500001,,200,292,291,20,23,3,self,self,False,True,False,0.13356164383561644,187.29000000000065
Heuristic,500000,3,500002,,340,502,501,34,37,9,self,self,False,True,False,0.12749003984063745,325.33000000000277
Heuristic,500000,4,500003,,170,250,249,17,20,18,self,self,False,True,False,0.132,157.68000000000023
Heuristic,500000,5,500004,,360,600,599,36,39,29,self,self,False,True,False,0.13166666666666665,344.3700000000035
Heuristic,500000,6,500005,,280,374,373,28,31,25,self,self,False,True,False,0.12032085561497326,266.55000000000143
Heuristic,500000,7,500006,,260,405,404,26,29,13,self,self,False,True,False,0.1259259259259259,246.22000000000145
Heuristic,500000,8,500007,,210,292,291,21,24,4,self,self,False,True,False,0.13356164383561644,197.30000000000092
Heuristic,500000,9,500008,,220,356,355,22,25,9,self,self,False,True,False,0.10674157303370786,206.67000000000087
Heuristic,500000,10,500009,,310,539,538,31,34,17,self,self,False,True,False,0.10760667903525047,294.930000000002
Heuristic,500000,11,500010,,140,148,147,14,17,6,self,self,False,True,False,0.18243243243243243,128.66999999999985
Heuristic,500000,12,500011,,260,383,382,26,29,9,self,self,False,True,False,0.11488250652741515,246.44000000000142
Heuristic,500000,13,500012,,450,733,732,45,48,6,self,self,False,True,False,0.14733969986357434,433.1300000000042
Heuristic,500000,14,500013,,130,165,164,13,16,5,self,self,False,True,False,0.16363636363636364,118.48999999999972
Heuristic,500000,15,500014,,290,421,420,29,32,27,self,self,False,True,False,0.13064133016627077,276.09000000000134
Heuristic,500000,16,500015,,240,334,333,24,27,11,self,self,False,True,False,0.12574850299401197,226.9100000000008
Heuristic,500000,17,500016,,70,75,74,7,10,2,self,self,False,True,False,0.17333333333333334,59.33
Heuristic,500000,18,500017,,430,629,628,43,46,13,self,self,False,True,False,0.12400635930047695,414.1500000000037
Heuristic,500000,19,500018,,480,807,806,48,51,22,self,self,False,True,False,0.12267657992565056,462.420000000005
Heuristic,500000,20,500019,,170,265,264,17,20,8,self,self,False,True,False,0.11320754716981132,157.5300000000003
Heuristic,500000,21,500020,,210,304,303,21,24,9,self,self,False,True,False,0.12828947368421054,197.18000000000058
Heuristic,500000,22,500021,,200,216,215,20,23,5,self,self,False,True,False,0.17592592592592593,188.0500000000003
Heuristic,500000,23,500022,,300,495,494,30,33,21,self,self,False,True,False,0.13333333333333333,285.36000000000246
Heuristic,500000,24,500023,,370,606,605,37,40,4,self,self,False,True,False,0.13861386138613863,354.3200000000033
Heuristic,500000,25,500024,,280,442,441,28,31,21,self,self,False,True,False,0.1244343891402715,265.8700000000014
Heuristic,500000,26,500025,,190,212,211,19,22,16,self,self,False,True,False,0.1650943396226415,178.08000000000033
Heuristic,500000,27,500026,,340,552,551,34,37,7,self,self,False,True,False,0.11775362318840579,324.8300000000028
Heuristic,500000,28,500027,,350,522,521,35,38,28,self,self,False,True,False,0.13218390804597702,335.1400000000028
Heuristic,500000,29,500028,,280,387,386,28,31,15,self,self,False,True,False,0.12661498708010335,266.42000000000183
Heuristic,500000,30,500029,,200,295,294,20,23,3,self,self,False,True,False,0.1288135593220339,187.26000000000056
Heuristic,500000,31,500030,,290,422,421,29,32,23,self,self,False,True,False,0.15165876777251186,276.08000000000186
Heuristic,500000,32,500031,,190,282,281,19,22,16,self,self,False,True,False,0.1773049645390071,177.3800000000008
Heuristic,500000,33,500032,,190,285,284,19,22,13,self,self,False,True,False,0.12631578947368421,177.35000000000042
Heuristic,500000,34,500033,,150,196,195,15,18,3,self,self,False,True,False,0.15816326530612246,138.19999999999993
Heuristic,500000,35,500034,,130,175,174,13,16,5,self,self,False,True,False,0.14857142857142858,118.38999999999976
Heuristic,500000,36,500035,,270,426,425,27,30,6,self,self,False,True,False,0.10328638497652583,256.02000000000174
Heuristic,500000,37,500036,,220,302,301,22,25,16,self,self,False,True,False,0.13245033112582782,207.21000000000086
Heuristic,500000,38,500037,,290,520,519,29,32,25,self,self,False,True,False,0.14038461538461539,275.10000000000235
Heuristic,500000,39,500038,,320,519,518,32,35,19,self,self,False,True,False,0.11753371868978806,305.14000000000243
Heuristic,500000,40,500039,,320,502,501,32,35,11,self,self,False,True,False,0.099601593625498,305.3100000000022
Heuristic,500000,41,500040,,450,877,876,45,48,13,self,self,False,True,False,0.13911060433295325,431.6900000000057
Heuristic,500000,42,500041,,310,413,412,31,34,15,self,self,False,True,False,0.13559322033898305,296.19000000000153
Heuristic,500000,43,500042,,220,281,280,22,25,7,self,self,False,True,False,0.15658362989323843,207.4200000000004
Heuristic,500000,44,500043,,300,473,472,30,33,17,self,self,False,True,False,0.13953488372093023,285.5800000000023
Heuristic,500000,45,500044,,100,134,133,10,13,5,self,self,False,True,False,0.13432835820895522,88.76999999999991
Heuristic,500000,46,500045,,300,449,448,30,33,4,self,self,False,True,False,0.13140311804008908,285.8200000000019
Heuristic,500000,47,500046,,160,274,273,16,19,16,self,self,False,True,False,0.12773722627737227,147.43000000000032
Heuristic,500000,48,500047,,220,354,353,22,25,5,self,self,False,True,False,0.11299435028248588,206.6900000000004
Heuristic,500000,49,500048,,330,552,551,33,36,13,self,self,False,True,False,0.1286231884057971,314.82000000000244
