policy,seed,assistance,score,food_collected,steps,steps_survived,turn_ratio,terminated,truncated,won,end_reason,max_length,max_occupancy_percent,reached_half,ordered_requested_step,ordered_locked_step,ordered_steps,recovery_steps,repeated_states,max_repeated_cycle_length,repeated_ordered_states,unexpected_ordered_fallbacks,ordered_progress_errors,collision_after_requested,collision_after_locked,no_food_after_requested,steps_half_to_win,elapsed_seconds,overrides,max_decision_ms
Heuristic,safety-6,False,100,10,118,117,0.1440677966101695,True,False,False,self,13,3.25,False,,,0,0,0,0,0,0,0,False,False,False,,0.0002885999999998603,0,0.008800000000064756
Heuristic,safety-7,False,420,42,568,567,0.13908450704225353,True,False,False,self,45,11.25,False,,,0,0,0,0,0,0,0,False,False,False,,0.0018843999999999142,0,0.011700000000018917
Heuristic,safety-8,False,320,32,450,449,0.11777777777777777,True,False,False,self,35,8.75,False,,,0,0,0,0,0,0,0,False,False,False,,0.00125630000000001,0,0.0035000000002582965
Heuristic,safety-9,False,300,30,577,576,0.10571923743500866,True,False,False,self,33,8.25,False,,,0,0,0,0,0,0,0,False,False,False,,0.0015815999999999803,0,0.014000000000123691
Heuristic,safety-10,False,340,34,514,513,0.1245136186770428,True,False,False,self,37,9.25,False,,,0,0,0,0,0,0,0,False,False,False,,0.0015619000000001507,0,0.0035000000002582965
Heuristic,safety-11,False,300,30,494,493,0.10526315789473684,True,False,False,self,33,8.25,False,,,0,0,0,0,0,0,0,False,False,False,,0.0012807000000002518,0,0.003400000000056025
Heuristic,safety-12,False,200,20,320,319,0.109375,True,False,False,self,23,5.75,False,,,0,0,0,0,0,0,0,False,False,False,,0.0007420999999999367,0,0.003000000000156433
Heuristic,safety-13,False,230,23,358,357,0.11452513966480447,True,False,False,self,26,6.5,False,,,0,0,0,0,0,0,0,False,False,False,,0.0009715000000001055,0,0.0030999999999039574
Heuristic,safety-14,False,320,32,486,485,0.12757201646090535,True,False,False,self,35,8.75,False,,,0,0,0,0,0,0,0,False,False,False,,0.0013210999999996602,0,0.003000000000156433
Heuristic,safety-15,False,190,19,283,282,0.1166077738515901,True,False,False,self,22,5.5,False,,,0,0,0,0,0,0,0,False,False,False,,0.0006585000000000036,0,0.0030999999999039574
Heuristic,safety-16,False,480,48,887,886,0.13416009019165728,True,False,False,self,51,12.75,False,,,0,0,0,0,0,0,0,False,False,False,,0.003104200000000219,0,0.003699999999753345
Heuristic,safety-17,False,200,20,289,288,0.17993079584775087,True,False,False,self,23,5.75,False,,,0,0,0,0,0,0,0,False,False,False,,0.0006644000000001143,0,0.003000000000156433
Heuristic,safety-18,False,160,16,244,243,0.14754098360655737,True,False,False,self,19,4.75,False,,,0,0,0,0,0,0,0,False,False,False,,0.0005286000000000968,0,0.0031000000003587047
Heuristic,safety-19,False,350,35,527,526,0.1366223908918406,True,False,False,self,38,9.5,False,,,0,0,0,0,0,0,0,False,False,False,,0.0018921999999997753,0,0.005699999999706051
Heuristic,safety-0,True,1260,126,3000,3000,0.16033333333333333,False,True,False,evaluation_step_limit,129,32.25,False,,,0,0,0,0,0,0,0,False,False,False,,0.10127739999999995,226,0.3627000000001317
Heuristic,safety-1,True,1200,120,3000,3000,0.137,False,True,False,evaluation_step_limit,123,30.75,False,,,0,0,0,0,0,0,0,False,False,False,,0.10639159999999992,221,0.35770000000002256
Heuristic,safety-2,True,1270,127,3000,3000,0.13733333333333334,False,True,False,evaluation_step_limit,130,32.5,False,,,0,0,0,0,0,0,0,False,False,False,,0.1268072000000002,180,0.6124999999997272
Heuristic,safety-3,True,1230,123,3000,3000,0.14933333333333335,False,True,False,evaluation_step_limit,126,31.5,False,,,0,0,0,0,0,0,0,False,False,False,,0.11541730000000007,205,0.4319000000000415
Heuristic,safety-4,True,1240,124,3000,3000,0.14433333333333334,False,True,False,evaluation_step_limit,127,31.75,False,,,0,0,0,0,0,0,0,False,False,False,,0.1325553,203,0.5300999999999476
Heuristic,safety-5,True,1270,127,3000,3000,0.14733333333333334,False,True,False,evaluation_step_limit,130,32.5,False,,,0,0,0,0,0,0,0,False,False,False,,0.10652960000000031,247,0.3809999999998581
Heuristic,safety-6,True,1210,121,3000,3000,0.139,False,True,False,evaluation_step_limit,124,31,False,,,0,0,0,0,0,0,0,False,False,False,,0.10449189999999998,279,0.47650000000021464
Heuristic,safety-7,True,1220,122,3000,3000,0.14966666666666667,False,True,False,evaluation_step_limit,125,31.25,False,,,0,0,0,0,0,0,0,False,False,False,,0.11714289999999983,230,0.4335999999998421
Heuristic,safety-8,True,1240,124,3000,3000,0.161,False,True,False,evaluation_step_limit,127,31.75,False,,,0,0,0,0,0,0,0,False,False,False,,0.11105390000000034,220,0.3894000000000233
